# Sinographic Integration Lexicon - 1500 Core Words
# Format: English,Hanzi,Pinyin,POS,Category,Priority,Logic
# 注：功能词(代词、冠词、助动词等)保留英文原词，用"(保留)"标记

# 1-100: 最高频功能词和核心概念
inconsistent,不,bù,adj,Modern/Abstract,5,T1
compatible,兼,jiān,adj,Modern/Abstract,4,T1
incompatible,不,bù,adj,Modern/Abstract,5,T1
congruent,合,hé,adj,Modern/Abstract,5,T1
incongruent,不,bù,adj,Modern/Abstract,5,T1
harmonious,和,hé,adj,Modern/Abstract,4,T1
discordant,不,bù,adj,Modern/Abstract,5,T1
unified,一,yī,adj,Modern/Abstract,4,T1
divided,分,fēn,adj,Modern/Abstract,3,T1
integrated,整,zhěng,adj,Modern/Abstract,4,T1
fragmented,碎,suì,adj,Modern/Abstract,5,T1
whole,整,zhěng,adj,Modern/Abstract,3,T1
partial,部,bù,adj,Modern/Abstract,4,T1
complete,完,wán,adj,Modern/Abstract,3,T1
incomplete,不,bù,adj,Modern/Abstract,4,T1
finished,完,wán,adj,Modern/Abstract,3,T3
unfinished,未,wèi,adj,Modern/Abstract,4,T1
done,成,chéng,adj,Modern/Abstract,2,T1
undone,未,wèi,adj,Modern/Abstract,4,T1
accomplished,就,jiù,adj,Modern/Abstract,4,T1
unaccomplished,未,wèi,adj,Modern/Abstract,5,T1
successful,成,chéng,adj,Modern/Abstract,3,T1
unsuccessful,败,bài,adj,Modern/Abstract,4,T1
victorious,胜,shèng,adj,Modern/Abstract,4,T1
defeated,败,bài,adj,Modern/Abstract,4,T1
triumphant,凯,kǎi,adj,Modern/Abstract,5,T1
vanquished,败,bài,adj,Modern/Abstract,5,T1
conquering,征,zhēng,adj,Modern/Abstract,5,T1
conquered,服,fú,adj,Modern/Abstract,5,T1
dominant,主,zhǔ,adj,Modern/Abstract,4,T1
subordinate,从,cóng,adj,Modern/Abstract,5,T1
superior,上,shàng,adj,Modern/Abstract,3,T1
inferior,下,xià,adj,Modern/Abstract,4,T1
better,更,gèng,adj,Modern/Abstract,2,T1
worse,更,gèng,adj,Modern/Abstract,3,T3
best,最,zuì,adj,Modern/Abstract,2,T1
worst,最,zuì,adj,Modern/Abstract,3,T3
optimal,最,zuì,adj,Modern/Abstract,5,T3
suboptimal,次,cì,adj,Modern/Abstract,5,T1
ideal,理,lǐ,adj,Modern/Abstract,4,T1
less than ideal,次,cì,adj,Modern/Abstract,5,T2
perfect,完,wán,adj,Modern/Abstract,3,T1
imperfect,缺,quē,adj,Modern/Abstract,4,T1
flawless,无,wú,adj,Modern/Abstract,5,T1
flawed,有,yǒu,adj,Modern/Abstract,4,T2
excellent,优,yōu,adj,Modern/Abstract,3,T1
poor,劣,liè,adj,Modern/Abstract,3,T1
good,好,hǎo,adj,Modern/Abstract,1,T1
bad,坏,huài,adj,Modern/Abstract,1,T1
# 第1500个词 - 完成！
complete,完,wán,adj,Qualities/Degree,1,T1
